ID	Gene ID	Trans.ID
>Seq_2473	ENSG00000001617	ENST00000002829
>Seq_2504	ENSG00000001617	ENST00000002829
>Seq_2506	ENSG00000001617	ENST00000002829
>Seq_2516	ENSG00000001617	ENST00000413852
>Seq_2530	ENSG00000001629	ENST00000265742
>Seq_2553	ENSG00000001629	ENST00000265742
>Seq_2580	ENSG00000001629	ENST00000265742
>Seq_2596	ENSG00000001629	ENST00000265742
>Seq_2607	ENSG00000001629	ENST00000265742
>Seq_2648	ENSG00000001629	ENST00000265742
>Seq_2660	ENSG00000001629	ENST00000265742
>Seq_2669	ENSG00000001629	ENST00000265742
>Seq_2670	ENSG00000001629	ENST00000265742
>Seq_2688	ENSG00000001629	ENST00000265742
>Seq_2696	ENSG00000001629	ENST00000265742
>Seq_2708	ENSG00000001629	ENST00000265742
>Seq_2736	ENSG00000001629	ENST00000265742
>Seq_2761	ENSG00000001629	ENST00000265742
>Seq_2856	ENSG00000001630	ENST00000003100
>Seq_2873	ENSG00000001630	ENST00000003100
>Seq_2922	ENSG00000001630	ENST00000003100
>Seq_2936	ENSG00000001630	ENST00000003100
>Seq_2960	ENSG00000001630	ENST00000003100
>Seq_2961	ENSG00000001630	ENST00000003100
>Seq_3009	ENSG00000001631	ENST00000340022
>Seq_3015	ENSG00000001631	ENST00000340022
>Seq_3034	ENSG00000001631	ENST00000340022
>Seq_3039	ENSG00000001631	ENST00000340022
>Seq_3121	ENSG00000001631	ENST00000444960
>Seq_3158	ENSG00000002016	ENST00000358495
>Seq_3205	ENSG00000002330	ENST00000309032
>Seq_3213	ENSG00000002549	ENST00000226299
>Seq_3215	ENSG00000002549	ENST00000226299
>Seq_3243	ENSG00000002549	ENST00000226299
>Seq_3262	ENSG00000002549	ENST00000226299
>Seq_3302	ENSG00000002549	ENST00000226299
>Seq_3327	ENSG00000002549	ENST00000226299
>Seq_3363	ENSG00000002549	ENST00000226299
>Seq_3476	ENSG00000002549	ENST00000226299
>Seq_3485	ENSG00000002549	ENST00000226299
>Seq_3526	ENSG00000002549	ENST00000226299
>Seq_3614	ENSG00000002586	ENST00000381184
>Seq_3616	ENSG00000002586	ENST00000381184
>Seq_3619	ENSG00000002586	ENST00000381184
>Seq_3657	ENSG00000002586	ENST00000381184
>Seq_3670	ENSG00000002586	ENST00000381187
>Seq_3685	ENSG00000002586	ENST00000381187
>Seq_3688	ENSG00000002586	ENST00000381187
>Seq_3697	ENSG00000002586	ENST00000381187
>Seq_3742	ENSG00000002586	ENST00000381187
>Seq_3888	ENSG00000002586	ENST00000381192
>Seq_3927	ENSG00000002726	ENST00000360937
>Seq_3940	ENSG00000002726	ENST00000360937
>Seq_3945	ENSG00000002726	ENST00000360937
>Seq_3954	ENSG00000002822	ENST00000265854
>Seq_3959	ENSG00000002822	ENST00000265854
>Seq_3976	ENSG00000002822	ENST00000265854
>Seq_4000	ENSG00000002822	ENST00000265854
>Seq_4006	ENSG00000002822	ENST00000265854
>Seq_4009	ENSG00000002822	ENST00000265854
>Seq_4078	ENSG00000002822	ENST00000265854
>Seq_4089	ENSG00000002822	ENST00000265854
>Seq_4090	ENSG00000002822	ENST00000265854
>Seq_4096	ENSG00000002822	ENST00000265854
>Seq_4104	ENSG00000002822	ENST00000265854
>Seq_4139	ENSG00000002834	ENST00000318008
>Seq_4154	ENSG00000002834	ENST00000318008
>Seq_4183	ENSG00000002834	ENST00000318008
>Seq_4188	ENSG00000002834	ENST00000318008
>Seq_4228	ENSG00000002834	ENST00000318008
>Seq_4269	ENSG00000002834	ENST00000318008
>Seq_4298	ENSG00000002834	ENST00000318008
>Seq_4319	ENSG00000002834	ENST00000318008
>Seq_4322	ENSG00000002834	ENST00000318008
>Seq_4323	ENSG00000002834	ENST00000318008
>Seq_4327	ENSG00000002834	ENST00000318008
>Seq_4361	ENSG00000002834	ENST00000318008
>Seq_4381	ENSG00000002834	ENST00000318008
>Seq_4440	ENSG00000002834	ENST00000318008
>Seq_4785	ENSG00000002834	ENST00000584106
>Seq_4796	ENSG00000002919	ENST00000359238
>Seq_4842	ENSG00000002919	ENST00000359238
>Seq_4960	ENSG00000002933	ENST00000475710
>Seq_5000	ENSG00000003056	ENST00000000412
>Seq_5022	ENSG00000003056	ENST00000000412
>Seq_5087	ENSG00000003056	ENST00000000412
>Seq_5098	ENSG00000003056	ENST00000000412
>Seq_5140	ENSG00000003056	ENST00000000412
>Seq_5154	ENSG00000003056	ENST00000000412
>Seq_5185	ENSG00000003056	ENST00000000412
>Seq_5246	ENSG00000003056	ENST00000000412
>Seq_5258	ENSG00000003056	ENST00000000412
>Seq_5334	ENSG00000003056	ENST00000000412
>Seq_5364	ENSG00000003056	ENST00000000412
>Seq_5386	ENSG00000003056	ENST00000000412
>Seq_5471	ENSG00000003096	ENST00000262820
>Seq_5473	ENSG00000003096	ENST00000262820
>Seq_5499	ENSG00000003096	ENST00000262820
>Seq_5538	ENSG00000003096	ENST00000262820
>Seq_5556	ENSG00000003096	ENST00000262820
>Seq_5560	ENSG00000003096	ENST00000262820
>Seq_5583	ENSG00000003096	ENST00000262820
>Seq_5629	ENSG00000003096	ENST00000262820
>Seq_5657	ENSG00000003096	ENST00000262820
>Seq_5679	ENSG00000003096	ENST00000371882
>Seq_5684	ENSG00000003096	ENST00000371882
>Seq_5688	ENSG00000003096	ENST00000371882
>Seq_5700	ENSG00000003096	ENST00000540167
>Seq_5709	ENSG00000003137	ENST00000001146
>Seq_5931	ENSG00000003147	ENST00000265577
>Seq_5950	ENSG00000003147	ENST00000265577
>Seq_5959	ENSG00000003147	ENST00000265577
>Seq_6021	ENSG00000003147	ENST00000455539
>Seq_6042	ENSG00000003249	ENST00000002501
>Seq_6150	ENSG00000003393	ENST00000264276
>Seq_6180	ENSG00000003393	ENST00000264276
>Seq_6184	ENSG00000003393	ENST00000264276
>Seq_6220	ENSG00000003393	ENST00000264276
>Seq_6225	ENSG00000003393	ENST00000264276
>Seq_6240	ENSG00000003393	ENST00000264276
>Seq_6260	ENSG00000003393	ENST00000264276
>Seq_6299	ENSG00000003393	ENST00000264276
>Seq_6308	ENSG00000003393	ENST00000264276
>Seq_6325	ENSG00000003393	ENST00000264276
>Seq_6333	ENSG00000003393	ENST00000264276
>Seq_6344	ENSG00000003393	ENST00000264276
>Seq_6403	ENSG00000003393	ENST00000264276
>Seq_6419	ENSG00000003393	ENST00000264276
>Seq_6473	ENSG00000003393	ENST00000264276
>Seq_6477	ENSG00000003393	ENST00000264276
>Seq_6483	ENSG00000003393	ENST00000264276
>Seq_6545	ENSG00000003400	ENST00000272879
>Seq_6607	ENSG00000003402	ENST00000309955
>Seq_6613	ENSG00000003402	ENST00000309955
>Seq_6638	ENSG00000003402	ENST00000309955
>Seq_6661	ENSG00000003402	ENST00000309955
>Seq_6757	ENSG00000003402	ENST00000309955
>Seq_6845	ENSG00000003402	ENST00000395148
>Seq_6946	ENSG00000003402	ENST00000423241
>Seq_6983	ENSG00000003436	ENST00000233156
>Seq_7076	ENSG00000003436	ENST00000481132
>Seq_7159	ENSG00000003509	ENST00000002125
>Seq_7182	ENSG00000003509	ENST00000002125
>Seq_7203	ENSG00000003509	ENST00000002125
>Seq_7207	ENSG00000003509	ENST00000002125
>Seq_7373	ENSG00000003756	ENST00000347869
>Seq_7399	ENSG00000003756	ENST00000347869
>Seq_7407	ENSG00000003756	ENST00000347869
>Seq_7415	ENSG00000003756	ENST00000347869
>Seq_7435	ENSG00000003756	ENST00000347869
>Seq_7443	ENSG00000003756	ENST00000347869
>Seq_7493	ENSG00000003756	ENST00000347869
>Seq_7517	ENSG00000003756	ENST00000347869
>Seq_7589	ENSG00000003756	ENST00000347869
>Seq_7600	ENSG00000003756	ENST00000347869
>Seq_7605	ENSG00000003756	ENST00000347869
>Seq_7649	ENSG00000003756	ENST00000347869
>Seq_7685	ENSG00000003756	ENST00000347869
>Seq_7720	ENSG00000003756	ENST00000347869
>Seq_7890	ENSG00000003756	ENST00000475128
>Seq_7895	ENSG00000003756	ENST00000492472
>Seq_7918	ENSG00000003989	ENST00000004531
>Seq_7969	ENSG00000003989	ENST00000004531
>Seq_8119	ENSG00000004059	ENST00000000233
>Seq_8130	ENSG00000004059	ENST00000000233
>Seq_8232	ENSG00000004059	ENST00000000233
>Seq_8238	ENSG00000004059	ENST00000000233
>Seq_8297	ENSG00000004059	ENST00000415666
>Seq_8312	ENSG00000004139	ENST00000379061
>Seq_8388	ENSG00000004139	ENST00000585453
>Seq_8403	ENSG00000004139	ENST00000585482
>Seq_8421	ENSG00000004139	ENST00000585482
>Seq_8498	ENSG00000004142	ENST00000540200
>Seq_8536	ENSG00000004142	ENST00000540200
>Seq_8560	ENSG00000004142	ENST00000540200
>Seq_8567	ENSG00000004142	ENST00000540200
>Seq_8606	ENSG00000004142	ENST00000540200
>Seq_8632	ENSG00000004142	ENST00000540200
>Seq_8712	ENSG00000004142	ENST00000618887
>Seq_8716	ENSG00000004142	ENST00000618887
>Seq_8726	ENSG00000004399	ENST00000324093
>Seq_8735	ENSG00000004399	ENST00000324093
>Seq_8754	ENSG00000004399	ENST00000324093
>Seq_8804	ENSG00000004455	ENST00000354858
>Seq_8858	ENSG00000004455	ENST00000354858
>Seq_8890	ENSG00000004455	ENST00000354858
>Seq_8960	ENSG00000004455	ENST00000373449
>Seq_9356	ENSG00000004468	ENST00000226279
>Seq_9388	ENSG00000004478	ENST00000001008
>Seq_9399	ENSG00000004478	ENST00000001008
>Seq_9438	ENSG00000004478	ENST00000001008
>Seq_9501	ENSG00000004478	ENST00000001008
>Seq_9506	ENSG00000004478	ENST00000001008
>Seq_9526	ENSG00000004478	ENST00000001008
>Seq_9544	ENSG00000004478	ENST00000001008
>Seq_9584	ENSG00000004478	ENST00000001008
>Seq_9750	ENSG00000004478	ENST00000001008
>Seq_9755	ENSG00000004478	ENST00000001008
>Seq_9763	ENSG00000004478	ENST00000540260
>Seq_9772	ENSG00000004487	ENST00000356634
>Seq_9780	ENSG00000004487	ENST00000356634
>Seq_9804	ENSG00000004487	ENST00000356634
>Seq_9822	ENSG00000004487	ENST00000356634
>Seq_9852	ENSG00000004487	ENST00000356634
>Seq_9870	ENSG00000004487	ENST00000356634
>Seq_9883	ENSG00000004487	ENST00000356634
>Seq_9889	ENSG00000004487	ENST00000356634
>Seq_9930	ENSG00000004487	ENST00000356634
>Seq_9987	ENSG00000004487	ENST00000356634
>Seq_10017	ENSG00000004487	ENST00000356634
>Seq_10080	ENSG00000004487	ENST00000356634
>Seq_10139	ENSG00000004487	ENST00000400181
>Seq_10157	ENSG00000004487	ENST00000400181
>Seq_10214	ENSG00000004534	ENST00000266022
>Seq_10266	ENSG00000004534	ENST00000266022
>Seq_10309	ENSG00000004534	ENST00000266022
>Seq_10312	ENSG00000004534	ENST00000266022
>Seq_10338	ENSG00000004534	ENST00000266022
>Seq_10354	ENSG00000004534	ENST00000266022
>Seq_10358	ENSG00000004534	ENST00000266022
>Seq_10368	ENSG00000004534	ENST00000266022
>Seq_10408	ENSG00000004534	ENST00000266022
>Seq_10428	ENSG00000004534	ENST00000266022
>Seq_10432	ENSG00000004534	ENST00000266022
>Seq_10434	ENSG00000004534	ENST00000266022
>Seq_10446	ENSG00000004534	ENST00000266022
>Seq_10453	ENSG00000004534	ENST00000266022
>Seq_10499	ENSG00000004534	ENST00000266022
>Seq_10608	ENSG00000004534	ENST00000266022
>Seq_10617	ENSG00000004534	ENST00000266022
>Seq_10670	ENSG00000004660	ENST00000348335
>Seq_10710	ENSG00000004700	ENST00000421138
>Seq_10734	ENSG00000004700	ENST00000421138
>Seq_10750	ENSG00000004700	ENST00000536240
>Seq_10789	ENSG00000004766	ENST00000251739
>Seq_10800	ENSG00000004766	ENST00000305866
>Seq_10802	ENSG00000004766	ENST00000305866
>Seq_10805	ENSG00000004766	ENST00000305866
>Seq_10850	ENSG00000004776	ENST00000004982
>Seq_10858	ENSG00000004776	ENST00000004982
>Seq_10870	ENSG00000004779	ENST00000007516
>Seq_10876	ENSG00000004779	ENST00000007516
>Seq_10996	ENSG00000004864	ENST00000265631
>Seq_11019	ENSG00000004864	ENST00000265631
>Seq_11048	ENSG00000004864	ENST00000265631
>Seq_11061	ENSG00000004864	ENST00000265631
>Seq_11071	ENSG00000004864	ENST00000265631
>Seq_11104	ENSG00000004864	ENST00000265631
>Seq_11165	ENSG00000004866	ENST00000265437
>Seq_11172	ENSG00000004866	ENST00000265437
>Seq_11193	ENSG00000004866	ENST00000265437
>Seq_11211	ENSG00000004866	ENST00000265437
>Seq_11291	ENSG00000004866	ENST00000393451
>Seq_11310	ENSG00000004866	ENST00000490039
>Seq_11333	ENSG00000004897	ENST00000066544
>Seq_11343	ENSG00000004897	ENST00000066544
>Seq_11464	ENSG00000004897	ENST00000066544
>Seq_11473	ENSG00000004897	ENST00000066544
>Seq_11475	ENSG00000004897	ENST00000066544
>Seq_11483	ENSG00000004897	ENST00000533415
>Seq_11569	ENSG00000004961	ENST00000321143
>Seq_11608	ENSG00000004961	ENST00000321143
>Seq_11673	ENSG00000004975	ENST00000005340
>Seq_11684	ENSG00000004975	ENST00000005340
>Seq_11704	ENSG00000004975	ENST00000005340
>Seq_11743	ENSG00000004975	ENST00000005340
>Seq_11815	ENSG00000004975	ENST00000571745
>Seq_11836	ENSG00000005007	ENST00000262803
>Seq_11851	ENSG00000005007	ENST00000262803
>Seq_11853	ENSG00000005007	ENST00000262803
>Seq_11874	ENSG00000005007	ENST00000262803
>Seq_11885	ENSG00000005007	ENST00000262803
>Seq_11894	ENSG00000005007	ENST00000262803
>Seq_11923	ENSG00000005007	ENST00000262803
>Seq_11933	ENSG00000005007	ENST00000262803
>Seq_11950	ENSG00000005007	ENST00000262803
>Seq_11959	ENSG00000005007	ENST00000262803
>Seq_11970	ENSG00000005007	ENST00000262803
>Seq_12109	ENSG00000005007	ENST00000600868
>Seq_12138	ENSG00000005020	ENST00000345317
>Seq_12206	ENSG00000005022	ENST00000317881
>Seq_12212	ENSG00000005022	ENST00000317881
>Seq_12219	ENSG00000005022	ENST00000317881
>Seq_12239	ENSG00000005022	ENST00000317881
>Seq_12260	ENSG00000005022	ENST00000317881
>Seq_12297	ENSG00000005022	ENST00000317881
>Seq_12304	ENSG00000005022	ENST00000317881
>Seq_12316	ENSG00000005022	ENST00000317881
>Seq_12329	ENSG00000005022	ENST00000317881
>Seq_12527	ENSG00000005059	ENST00000394650
>Seq_12586	ENSG00000005059	ENST00000394650
>Seq_12599	ENSG00000005059	ENST00000394650
>Seq_12610	ENSG00000005073	ENST00000006015
>Seq_12640	ENSG00000005075	ENST00000292614
>Seq_12648	ENSG00000005075	ENST00000292614
>Seq_12692	ENSG00000005075	ENST00000292614
>Seq_12808	ENSG00000005100	ENST00000225296
>Seq_12826	ENSG00000005100	ENST00000225296
>Seq_12839	ENSG00000005100	ENST00000225296
>Seq_12847	ENSG00000005100	ENST00000225296
>Seq_12853	ENSG00000005100	ENST00000225296
>Seq_12888	ENSG00000005100	ENST00000225296
>Seq_13023	ENSG00000005100	ENST00000433302
>Seq_13047	ENSG00000005108	ENST00000408005
>Seq_13048	ENSG00000005108	ENST00000408005
>Seq_13056	ENSG00000005108	ENST00000423059
>Seq_13069	ENSG00000005108	ENST00000423059
>Seq_13083	ENSG00000005108	ENST00000423059
>Seq_13116	ENSG00000005156	ENST00000262327
>Seq_13139	ENSG00000005156	ENST00000262327
>Seq_13199	ENSG00000005156	ENST00000262327
>Seq_13206	ENSG00000005156	ENST00000262327
>Seq_13244	ENSG00000005156	ENST00000262327
>Seq_13278	ENSG00000005156	ENST00000262327
>Seq_13310	ENSG00000005156	ENST00000262327
>Seq_13327	ENSG00000005156	ENST00000262327
>Seq_13343	ENSG00000005156	ENST00000262327
>Seq_13372	ENSG00000005156	ENST00000262327
>Seq_13391	ENSG00000005156	ENST00000262327
>Seq_13417	ENSG00000005156	ENST00000378526
>Seq_13461	ENSG00000005156	ENST00000378526
>Seq_13481	ENSG00000005156	ENST00000585941
>Seq_13499	ENSG00000005156	ENST00000590630
>Seq_13532	ENSG00000005175	ENST00000005386
>Seq_13607	ENSG00000005175	ENST00000005386
>Seq_13637	ENSG00000005175	ENST00000005386
>Seq_13642	ENSG00000005175	ENST00000005386
>Seq_13654	ENSG00000005175	ENST00000005386
>Seq_13668	ENSG00000005175	ENST00000005386
>Seq_13709	ENSG00000005175	ENST00000547706
>Seq_13724	ENSG00000005187	ENST00000289416
>Seq_13765	ENSG00000005189	ENST00000261377
>Seq_13784	ENSG00000005189	ENST00000261377
>Seq_13789	ENSG00000005189	ENST00000566993
>Seq_13971	ENSG00000005194	ENST00000394391
>Seq_14014	ENSG00000005206	ENST00000593243
>Seq_14022	ENSG00000005206	ENST00000610743
>Seq_14029	ENSG00000005206	ENST00000610743
>Seq_14032	ENSG00000005206	ENST00000613503
>Seq_14041	ENSG00000005206	ENST00000613503
>Seq_14064	ENSG00000005238	ENST00000322813
>Seq_14147	ENSG00000005238	ENST00000378566
>Seq_14183	ENSG00000005249	ENST00000265717
>Seq_14236	ENSG00000005249	ENST00000265717
>Seq_14292	ENSG00000005249	ENST00000265717
>Seq_14334	ENSG00000005302	ENST00000312196
>Seq_14381	ENSG00000005302	ENST00000312196
>Seq_14405	ENSG00000005302	ENST00000312196
>Seq_14410	ENSG00000005302	ENST00000312196
>Seq_14412	ENSG00000005302	ENST00000312196
>Seq_14482	ENSG00000005302	ENST00000312196
>Seq_14537	ENSG00000005302	ENST00000312196
>Seq_14568	ENSG00000005302	ENST00000312196
>Seq_14573	ENSG00000005302	ENST00000312196
>Seq_14665	ENSG00000005302	ENST00000337339
>Seq_14711	ENSG00000005302	ENST00000483645
>Seq_14727	ENSG00000005339	ENST00000262367
>Seq_14738	ENSG00000005339	ENST00000262367
>Seq_14789	ENSG00000005339	ENST00000262367
>Seq_14795	ENSG00000005339	ENST00000262367
>Seq_14805	ENSG00000005339	ENST00000262367
>Seq_14816	ENSG00000005339	ENST00000262367
>Seq_14832	ENSG00000005339	ENST00000262367
>Seq_14874	ENSG00000005339	ENST00000262367
>Seq_14893	ENSG00000005339	ENST00000262367
>Seq_14925	ENSG00000005339	ENST00000262367
>Seq_14937	ENSG00000005339	ENST00000262367
>Seq_14956	ENSG00000005339	ENST00000262367
>Seq_15006	ENSG00000005339	ENST00000262367
>Seq_15036	ENSG00000005339	ENST00000262367
>Seq_15047	ENSG00000005339	ENST00000262367
>Seq_15068	ENSG00000005339	ENST00000262367
>Seq_15093	ENSG00000005339	ENST00000262367
>Seq_15117	ENSG00000005339	ENST00000262367
>Seq_15127	ENSG00000005339	ENST00000262367
>Seq_15189	ENSG00000005339	ENST00000262367
>Seq_15246	ENSG00000005339	ENST00000262367
>Seq_15273	ENSG00000005339	ENST00000262367
>Seq_15317	ENSG00000005339	ENST00000262367
>Seq_15319	ENSG00000005339	ENST00000262367
>Seq_15323	ENSG00000005339	ENST00000262367
>Seq_15348	ENSG00000005339	ENST00000262367
>Seq_15401	ENSG00000005339	ENST00000571763
>Seq_15429	ENSG00000005379	ENST00000268893
>Seq_15440	ENSG00000005379	ENST00000268893
>Seq_15484	ENSG00000005436	ENST00000321027
>Seq_15492	ENSG00000005448	ENST00000348227
>Seq_15501	ENSG00000005448	ENST00000348227
>Seq_15517	ENSG00000005448	ENST00000348227
>Seq_15520	ENSG00000005448	ENST00000348227
>Seq_15589	ENSG00000005469	ENST00000331536
>Seq_15590	ENSG00000005469	ENST00000331536
>Seq_15679	ENSG00000005483	ENST00000257745
>Seq_15834	ENSG00000005483	ENST00000257745
>Seq_15864	ENSG00000005483	ENST00000257745
>Seq_15894	ENSG00000005483	ENST00000257745
>Seq_15934	ENSG00000005483	ENST00000257745
>Seq_15935	ENSG00000005483	ENST00000257745
>Seq_15937	ENSG00000005483	ENST00000257745
>Seq_15949	ENSG00000005483	ENST00000257745
>Seq_15968	ENSG00000005483	ENST00000257745
>Seq_15969	ENSG00000005483	ENST00000257745
>Seq_15973	ENSG00000005483	ENST00000257745
>Seq_15982	ENSG00000005483	ENST00000257745
>Seq_15985	ENSG00000005483	ENST00000257745
>Seq_15995	ENSG00000005483	ENST00000257745
>Seq_15999	ENSG00000005483	ENST00000257745
>Seq_16003	ENSG00000005483	ENST00000257745
>Seq_16042	ENSG00000005486	ENST00000006777
>Seq_16052	ENSG00000005486	ENST00000006777
>Seq_16098	ENSG00000005486	ENST00000006777
>Seq_16115	ENSG00000005486	ENST00000006777
>Seq_16132	ENSG00000005486	ENST00000318622
>Seq_16159	ENSG00000005486	ENST00000318622
>Seq_16247	ENSG00000005700	ENST00000306270
>Seq_16260	ENSG00000005700	ENST00000306270
>Seq_16304	ENSG00000005700	ENST00000306270
>Seq_16310	ENSG00000005700	ENST00000306270
>Seq_16329	ENSG00000005700	ENST00000306270
>Seq_16332	ENSG00000005700	ENST00000306270
>Seq_16343	ENSG00000005700	ENST00000306270
>Seq_16347	ENSG00000005700	ENST00000306270
>Seq_16393	ENSG00000005801	ENST00000005082
>Seq_16405	ENSG00000005801	ENST00000005082
>Seq_16416	ENSG00000005801	ENST00000005082
>Seq_16480	ENSG00000005801	ENST00000529228
>Seq_16489	ENSG00000005810	ENST00000357337
>Seq_16496	ENSG00000005810	ENST00000357337
>Seq_16516	ENSG00000005810	ENST00000357337
>Seq_16564	ENSG00000005810	ENST00000357337
>Seq_16569	ENSG00000005810	ENST00000357337
>Seq_16617	ENSG00000005810	ENST00000357337
>Seq_16632	ENSG00000005810	ENST00000357337
>Seq_16642	ENSG00000005810	ENST00000357337
>Seq_16653	ENSG00000005810	ENST00000357337
>Seq_16667	ENSG00000005810	ENST00000357337
>Seq_16676	ENSG00000005810	ENST00000357337
>Seq_16713	ENSG00000005810	ENST00000357337
>Seq_16717	ENSG00000005810	ENST00000357337
>Seq_16751	ENSG00000005810	ENST00000357337
>Seq_16784	ENSG00000005810	ENST00000357337
>Seq_16791	ENSG00000005810	ENST00000357337
>Seq_16793	ENSG00000005810	ENST00000357337
>Seq_16809	ENSG00000005810	ENST00000357337
>Seq_16835	ENSG00000005810	ENST00000357337
>Seq_16841	ENSG00000005810	ENST00000357337
>Seq_16847	ENSG00000005810	ENST00000357337
>Seq_16853	ENSG00000005810	ENST00000357337
>Seq_16857	ENSG00000005810	ENST00000357337
>Seq_16863	ENSG00000005810	ENST00000357337
>Seq_16878	ENSG00000005810	ENST00000357337
>Seq_16882	ENSG00000005810	ENST00000357337
>Seq_16922	ENSG00000005810	ENST00000357337
>Seq_16936	ENSG00000005810	ENST00000357337
>Seq_16946	ENSG00000005810	ENST00000357337
>Seq_16959	ENSG00000005810	ENST00000357337
>Seq_16984	ENSG00000005810	ENST00000357337
>Seq_16989	ENSG00000005810	ENST00000357337
>Seq_17001	ENSG00000005810	ENST00000357337
>Seq_17012	ENSG00000005810	ENST00000357337
>Seq_17026	ENSG00000005810	ENST00000357337
>Seq_17038	ENSG00000005810	ENST00000357337
>Seq_17073	ENSG00000005810	ENST00000429715
>Seq_17085	ENSG00000005810	ENST00000491491
>Seq_17101	ENSG00000005812	ENST00000355619
>Seq_17139	ENSG00000005844	ENST00000356798
>Seq_17145	ENSG00000005844	ENST00000356798
>Seq_17154	ENSG00000005844	ENST00000356798
>Seq_17170	ENSG00000005844	ENST00000356798
>Seq_17216	ENSG00000005844	ENST00000356798
>Seq_17225	ENSG00000005844	ENST00000356798
>Seq_17233	ENSG00000005844	ENST00000356798
>Seq_17243	ENSG00000005844	ENST00000358164
>Seq_17250	ENSG00000005882	ENST00000007708
>Seq_17265	ENSG00000005882	ENST00000007708
>Seq_17272	ENSG00000005882	ENST00000007708
>Seq_17279	ENSG00000005882	ENST00000007708
>Seq_17281	ENSG00000005882	ENST00000007708
>Seq_17324	ENSG00000005884	ENST00000007722
>Seq_17440	ENSG00000005884	ENST00000007722
>Seq_17495	ENSG00000005884	ENST00000007722
>Seq_17516	ENSG00000005884	ENST00000007722
>Seq_17530	ENSG00000005884	ENST00000007722
>Seq_17564	ENSG00000005884	ENST00000007722
>Seq_17571	ENSG00000005884	ENST00000007722
>Seq_17574	ENSG00000005884	ENST00000007722
>Seq_17588	ENSG00000005884	ENST00000007722
>Seq_17593	ENSG00000005884	ENST00000007722
>Seq_17635	ENSG00000005884	ENST00000007722
>Seq_17653	ENSG00000005884	ENST00000007722
>Seq_17707	ENSG00000005884	ENST00000007722
>Seq_17713	ENSG00000005884	ENST00000007722
>Seq_17714	ENSG00000005884	ENST00000007722
>Seq_17735	ENSG00000005884	ENST00000320031
>Seq_17741	ENSG00000005884	ENST00000320031
>Seq_17782	ENSG00000005884	ENST00000320031
>Seq_17832	ENSG00000005884	ENST00000320031
