1	Mainly Alpha
1.10.569	Aldehyde Ferredoxin Oxidoreductase Protein, subunit A; domain 2
1.10.575	P1 Nuclease
1.10.579	DNA Cyclobutane Dipyrimidine Photolyase, subunit A; domain 3
1.10.580	Citrate Synthase; domain 1
1.10.590	Chorismate Mutase, subunit A
1.10.599	Aldehyde Ferredoxin Oxidoreductase Protein, subunit A; domain 3
1.10.600	Farnesyl Diphosphate Synthase
1.10.601	RNA Polymerase Primary Sigma Factor
1.10.606	Vanadium-containing Chloroperoxidase; domain 2
1.10.620	Ribonucleotide Reductase, subunit A
1.10.630	Cytochrome p450
1.10.640	Myeloperoxidase, subunit C
1.10.645	Cytochrome-c3 Hydrogenase; chain B
1.10.700	Protocatechuate 4,5-dioxygenase; Chain A
1.10.720	Transcription Termination Factor Rho, Rna-binding Domain; Chain A, Domain 1
1.10.730	Isoleucyl-tRNA Synthetase; Domain 1
1.10.740	Transferase Inhibitor Protein From Tn5; Chain A, domain2
1.10.750	Elongin C; Chain C, domain 1
1.10.760	Cytochrome Bc1 Complex; Chain D, domain 2
1.10.780	Hydroxylamine Oxidoreductase; Chain A, domain 1
1.10.790	Major Prion Protein
1.10.800	Phenylalanine Hydroxylase
1.10.820	RNA Helicase; Chain A, domain 3
1.10.840	Son of Sevenless (SoS) protein; Chain S, domain 2
1.10.860	DNAb Helicase; Chain A
1.10.870	HLA-dr Antigens Associated Invariant Chain; Chain A
1.10.880	Transcription Factor Skn-1; Chain P
1.10.890	10k-s Protein, Hypothetical Protein A; Chain A
1.10.930	Syk Kinase; Chain A, domain 2
1.10.940	N-utilizing Substance Protein B Homolog; Chain A
1.10.950	Villin Headpiece Domain; Chain A
1.10.1000	Arf Nucleotide-binding Site Opener; domain 2
1.10.1020	Adenine-specific Methyltransferase; domain 2
1.10.1030	Carbamoyl Phosphate Synthetase; Chain A, domain 4
1.10.1040	N-(1-d-carboxylethyl)-l-norvaline Dehydrogenase; domain 2
1.10.1050	Ribosomal Protein S4 Delta 41; Chain A, domain 1
1.10.1060	Fumarate Reductase Iron-sulfur Protein; Chain B, domain 2
1.10.1070	Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, Domain 5
1.10.1080	Glutathione Synthetase; Chain A, domain 3
1.10.1090	Cytochrome Bc1 Complex; Chain F
1.10.1100	Transcription Initiation Factor IId 230k; Chain A
1.10.1130	Flavocytochrome C3; Chain A, domain 2
1.10.1140	Bovine Mitochondrial F1-ATPase, ATP Synthase Beta Chain; Chain D, domain3
1.10.1160	Glutamyl-tRNA Synthetase; domain 2
1.10.1170	Inhibitor Of Apoptosis Protein (2mihbC-IAP-1); Chain A
1.10.1180	DNA Transposition Protein; Chain A
1.10.1200	Non-ribosomal Peptide Synthetase Peptidyl Carrier Protein; Chain A
1.10.1220	Arc Repressor Mutant
1.10.1240	Methyltransferase, Methionine Synthase (B12-binding Domains); Chain A, domain 1
1.10.1270	Trp Operon Repressor; Chain A
1.10.1280	di-copper center containing domain from catechol oxidase
1.10.1290	Conserved core of transcriptional regulatory protein vp16
1.10.1300	Catalytic domain of cyclic nucleotide phosphodiesterase 4b2b
1.10.1320	T7 RNA polymerase; domain 1
1.10.1330	Type 1 dockerin domain
1.10.1350	Viral capsid alpha domain
1.10.1370	Neurolysin; domain 3
1.10.1380	Neutral endopeptidase; domain 2
1.10.1390	Phosphoglucose isomerase, C-terminal domain
1.10.1400	Penicillin amidase (Acylase) alpha subunit, N-terminal domain
1.10.1410	Poly(a)-polymerase, middle domain
1.10.1420	MutS, DNA mismatch repair protein; Chain A, domain 3
1.10.1440	Apolipoprotein Cii; Chain: A; 
1.10.1450	Cd81 Antigen, Extracellular Domain; Chain: A
1.10.1470	Protein Yjbj; Chain: A; 
1.10.1490	Dna Fragmentation Factor Alpha Subunit; Chain: A; 
1.10.1500	Probable Glutaminase Ybgj; Chain: A, domain 2
1.10.1510	Hypothetical Protein Yqey; Chain: A; domain1
1.10.1520	Ribonuclease iii, N-terminal Endonuclease Domain; Chain A
1.10.1530	Hypothetical Oxidoreductase Yiak; Chain: A, domain 1
1.10.1540	Neurobeachin; Chain: A, domain 1
1.10.1580	Conserved Hypothetical Protein Ylqf; Chain: A; domain 2
1.10.1600	Ku70; Chain: A; domain 4
1.10.1610	5,6-Dimethylbenzimidazole Phosphoribosyltransferase; Chain: A; domain 1
1.10.1620	Atp Synthase Epsilon Chain; Chain: I; 
1.10.1630	Creb-binding Protein; Chain: A
1.10.1650	50s Ribosomal Protein L19e, Chain O, domain 1
1.10.1660	Multidrug-efflux Transporter Regulator; Chain: A; Domain 2
1.10.1670	Endonuclease Iii, domain 2
1.10.1690	Hiv-1 Regulatory Protein N-terminal Domain Vpr; Chain: A; 
1.10.1710	Fertility Inhibition Protein O; Chain: A; Domain 1
1.10.1720	Proline Oxidase; Chain: A,  Domain 2
1.10.1740	Rna Polymerase Sigma Factor; Chain: A
1.10.1750	Chromosomal Replication Initiator Protein Dnaa; Chain: A; 
1.10.1760	Arp2/3 complex 21 kDa subunit ARPC3
1.10.1780	Double Clp-N motif
1.10.1790	PTS-regulatory domain, PRD
1.10.1810	Anti-sigma factor AsiA
1.10.1820	protein kinase ck2 holoenzyme, chain C, domain 1
1.10.1840	main proteinase (3clpro) structure, domain 3
1.10.1850	Procapsid Of Bacteriophage Phix174, Chain 1
1.10.1860	N-terminal alpha-helical clasp
1.10.1870	Domain 3, Saccharopine reductase
1.10.1900	c-terminal domain of poly(a) binding protein
1.10.2000	Frizzled cysteine-rich domain
1.10.2010	Crustacean CHH/MIH/GIH neurohormone
1.10.2020	uronate isomerase, domain 2, chain A
1.10.2030	Anthrax toxin lethal factor, domain 3, chain A
1.10.2040	Protein mu-1, chain B, domain 2
1.10.2050	Protein mu-1, chain B, domain 3
1.10.2060	PutA proline dehydrogenase (PRODH), domain 2
1.10.2080	Antennal chemosensory protein a6
1.10.2090	orange carotenoid protein, domain 2
1.10.3020	alpha-amino acid ester hydrolase ( Helical cap domain)
1.10.3030	Gametocyte protein Pfg27
1.10.3040	borna disease virus nucleoprotein, domain 1
1.10.3050	borna disease virus nucleoprotein, domain 2
1.10.3060	Helical scaffold and wing domains of SecA
1.10.3070	Hypothetical protein MTH393
1.10.3080	Clc chloride channel
1.10.3090	cca-adding enzyme, domain 2
1.10.3100	Putative cytoplasmic protein
1.10.3110	protoporphyrinogen ix oxidase, domain 3
1.10.3120	Trigger factor, domain 2
1.10.3130	serine acetyltransferase, domain 1
1.10.3140	4-hydroxybutyryl-coa dehydratase, domain 1
1.10.3160	Bbcrasp-1
1.10.3170	Recbcd, chain B, domain 2
1.10.3180	DNA-binding domain of ethylene- insensitive3-like3
1.10.3190	yfbu gene product, domain 2
1.10.3200	Hypothetical protein af0941
1.10.3210	Hypothetical protein af1432
1.10.3230	Hypothetical protein yqbg
1.10.3250	type ii restriction endonuclease, domain 1
1.10.3260	DNA ligase i, domain 1
1.10.3270	HMGR, N-terminal domain
1.10.3280	Siro heme synthase C-terminal domain-like
1.10.3290	Fic-like fold
1.10.3300	Jann2411-like fold
1.10.3320	pa2218 like fold
1.10.3330	UraD-like
1.10.3340	SMc04008-like fold
1.10.3350	HP0242-like fold
1.10.3360	VPA0735-like fold
1.10.3370	Preprotein translocase SecY subunit 
1.10.3380	Sec63 N-terminal domain-like fold
1.10.3390	YejL-like
1.10.3400	af_2093 domain like fold
1.10.3410	putative deoxyguanosinetriphosphate triphosphohydrolase fold
1.10.3420	putative ntp pyrophosphohydrolase like fold
1.10.3430	Ammonium transporter fold
1.10.3440	Sama2622-like fold
1.10.3450	Hyaluronidase domain-like
1.10.3460	Chlorophyll a-b binding protein 
1.10.3470	ABC transporter involved in vitamin B12 uptake, BtuC
1.10.3480	TorD-like
1.10.3490	PH0156-like
1.10.3500	Tex N-terminal region-like 
1.10.3510	NMB0513-like
1.10.3520	Glycolipid transfer protein, GLTP 
1.10.3530	Api92-like
1.10.3540	fold of a uncharacterized protein from magnetospirillum magneticum
1.10.3550	eoxyguanosinetriphosphate triphosphohydrolase fold
1.10.3560	yst0336 like fold
1.10.3570	Rhabdovirus nucleoprotein-like fold
1.10.3580	ATP12-like fold
1.10.3590	acid-sensing ion channel 1 fold
1.10.3600	uncharacterized protein encoded by cryptic prophage fold
1.10.3610	Rhabdovirus nucleoprotein-like
1.10.3620	YdcF fold
1.10.3630	yeast vps74-n-term truncation variant fold
1.10.3640	putative oxidoreductase fold
1.10.3650	nitrate reductase domain fold
1.10.3660	6-phosphogluconate dehydrogenase C-terminal fold
1.10.3670	Putative xylanase fold
1.10.3680	TerB-like 
1.10.3690	PA2222-like fold
1.10.3700	AGR_C_984p-like
1.10.3710	post-AAA+ oligomerization domain-like 
1.10.3720	MetI-like fold
1.10.3730	ProC C-terminal domain-like fold
1.10.3740	SSO1389-like fold
1.10.3750	Hypothetical protein YhaI fold
1.10.3760	YutG-like
1.10.3780	TPR-like
1.10.3790	NinB fold
1.10.3800	ADP-ribosylation fold
1.10.3810	Penicillin binding protein transpeptidase fold
1.10.3820	Multiheme cytochrome fold
1.10.3830	Diacylglycerol kinase fold
1.10.3860	Proton glutamate symport protein 
1.10.3870	AF1437-like domain fold
1.10.3880	YggX-like
1.10.3890	YcfC-like
1.10.3900	YacF-like
1.10.3910	SP0561-like
1.10.3920	PA2201 C-terminal domain-like 
1.10.3930	Pentein
1.10.3940	AF_0924 fold
1.10.3950	putative ecf-type sigma factor negative effector from bacillus cereus
1.10.3960	Hypothetical protein MG354 fold
1.10.3970	BSD domain-like fold
1.10.3980	T-fold
1.10.3990	Ribbon-helix-helix fold
1.10.4000	Flagellar transcriptional activator fold
1.10.4010	all-alpha NTP pyrophosphatase fold
1.10.4020	DNA breaking-rejoining enzymes fold
1.10.4030	Triger factor/SurA peptide-binding fold
1.10.4040	Penicillinase repressor fold
1.10.4050	Nucleotidyltransferase substrate binding subunit/domain fold
1.10.4060	LON domain-like fold
1.10.4070	putative redox-enzyme maturation protein fold
1.10.4080	ADP-ribosylglycohydrolase fold
1.10.4090	Hepatitis B viral capsid (hbcag) fold
1.10.4100	2-methylcitrate dehydratase PrpD
1.10.4110	Invasion protein A fold
1.10.4120	SopE-like GEF fold
1.10.4140	effector protein (NleL) fold
1.10.4150	SipA N-terminal domain-like 
1.20.5	Single alpha-helices involved in coiled-coils or other helix-helix interfaces
1.20.10	Heat-Stable Enterotoxin B
1.20.20	F1FO ATP Synthase
1.20.50	Pheromone ER-1
1.20.58	Methane Monooxygenase Hydroxylase; Chain G, domain 1
1.20.59	Chorismate Mutase Domain, subunit A
1.20.80	Acyl-CoA Binding Protein
1.20.81	Receptor-associated Protein
1.20.82	ADP Ribosyl Cyclase; Chain A, domain 1
1.20.85	Photosynthetic Reaction Center, subunit M; domain 1
1.20.89	Nitrogenase Molybdenum-iron Protein, subunit B; domain 4
1.20.90	Phospholipase A2
1.20.91	Influenza Virus Matrix Protein; Chain A, domain 1
1.20.120	Four Helix Bundle (Hemerythrin (Met), subunit A)
1.20.140	Butyryl-CoA Dehydrogenase, subunit A; domain 3
1.20.141	Chitosanase, subunit A; domain 1
1.20.142	Poly(ADP-ribose) Polymerase; domain 1
1.20.144	Vanadium-containing Chloroperoxidase; domain 1
1.20.150	Lysin
1.20.190	Delta-Endotoxin; domain 1
1.20.200	Fumarase C; Chain A, domain 2
1.20.210	Cytochrome C Oxidase; Chain A
1.20.225	Bacteriocin As-48; Chain A
1.20.245	Lipoxygenase-1; domain 5
1.20.250	Colicin Ia; domain 1
1.20.272	Zinc Finger, Delta Prime; domain 3
1.20.810	Cytochrome Bc1 Complex; Chain C
1.20.840	Methyl-coenzyme M Reductase; Chain B, domain 2
1.20.850	Hydroxylamine Oxidoreductase; Chain A, domain 2
1.20.860	Alpha-t-alpha
1.20.870	Son of sevenless (SoS) protein; Chain S, domain 1
1.20.890	cAMP-dependent Protein Kinase, Chain A
1.20.900	Dbl Homology Domain; Chain A
1.20.910	Heme Oxygenase; Chain A
1.20.920	Histone Acetyltransferase; Chain A
1.20.930	Transcription Elongation Factor S-II; Chain A
1.20.940	RNA Binding Protein, Prp18; Chain A
1.20.950	Fumarate Reductase Cytochrome B subunit
1.20.960	Mitochondrial Import Receptor Subunit Tom20; Chain A
1.20.970	Transferase, Pyrimidine Nucleoside Phosphorylase; Chain A, domain 3
1.20.990	NADPH-cytochrome p450 Reductase; Chain A, domain 3
1.20.1000	Signaling Protein - Interferon-induced Guanylate-binding Protein 1; Chain A, domain 1
1.20.1020	CREB-binding Protein; Chain A
1.20.1050	Glutathione S-transferase Yfyf (Class Pi); Chain A, domain 2
1.20.1060	Taq DNA Polymerase; Chain T, domain 4
1.20.1070	Rhopdopsin 7-helix transmembrane proteins
1.20.1080	Glycerol uptake facilitator protein
1.20.1090	Dehydroquinate synthase-like, alpha domain
1.20.1110	Calcium-transporting ATPase, transmembrane domain
1.20.1120	Clostridium botulinum neurotoxin B, "coiled-coil" domain
1.20.1130	Photosystem I p700 chlorophyll A apoprotein A1
1.20.1150	Endoplasmic reticulum protein erp29
1.20.1160	Paired amphipathic helix 2 (pah2 repeat)
1.20.1170	Hemolysin E; Chain: A; 
1.20.1180	Udp N-acetylglucosamine O-acyltransferase; Domain 2
1.20.1200	Hypothetical Protein Ta1238; Chain: A; 
1.20.1220	Malate Synthase G; Chain: A; Domain 4
1.20.1230	Phospholipase C Beta; Chain: A
1.20.1240	Photosystem 1 Reaction Centre Subunit Xi; Chain: L; 
1.20.1250	Growth Hormone; Chain: A; 
1.20.1260	Ferritin; 
1.20.1270	Substrate Binding Domain Of Dnak; Chain:A; Domain 2
1.20.1280	Monooxygenase
1.20.1290	AhpD-like
1.20.1300	3 helical TM bundles of succinate and fumarate reductases
1.20.1310	5 helical Cullin repeat like
1.20.1320	phosphoenolpyruvate carboxylase, domain 3
1.20.1330	f41 fragment of flagellin, N-terminal domain
1.20.1340	dopa decarboxylase, N-terminal domain
1.20.1370	Hemocyanin, N-terminal domain
1.20.1380	Replication modulator SeqA, C-terminal DNA-binding domain
1.20.1390	PWI domain
1.20.1400	Mollusk pheromone
1.20.1410	I/LWEQ domain
1.20.1420	A middle domain of Talin 1
1.20.1430	immunoglobulin/albumin-binding domain-like
1.20.1440	de novo design (two linked rop proteins)
1.20.1450	particulate methane monooxygenase, chain B
1.20.1460	subunit c (vma5p) of the yeast v-atpase, domain 2
1.20.1480	hypothetical protein mp506/mpn330, domain 1
1.20.1500	YheA-like fold
1.20.1510	Alpha-lytic protease prodomain-like
1.20.1520	Adp-ribosylation factor-like protein 2-binding protein fold
1.20.1530	Na+/H+ antiporter like fold
1.20.1540	Rhomboid-like fold
1.20.1550	Bromodomain-like
1.20.1560	ABC transporter transmembrane region fold
1.20.1570	dip2346 fold
1.20.1580	ABC transporter ATPase like fold
1.20.1590	YP_001051499.1 fold like
1.20.1600	Outer membrane efflux proteins (OEP)
1.20.1610	Glycosyl hydrolase family fold
1.20.1630	Formate dehydrogenase/DMSO reductase fold
1.20.1640	Multidrug efflux transporter AcrB transmembrane fold
1.20.1650	PLP-dependent transferase-like
1.20.1660	ARM repeat  fold
1.20.1670	all-alpha NTP pyrophosphatase
1.20.1680	all-alpha NTP pyrophosphatases
1.20.1690	V-type ATP synthase subunit C fold
1.20.1700	AF1104-like
1.20.1710	IpaD-like 
1.25.10	Leucine-rich Repeat Variant
1.25.20	70-kda Soluble Lytic Transglycosylase; domain 1
1.25.40	Serine Threonine Protein Phosphatase 5, Tetratricopeptide repeat
1.25.50	Zincin-like fold
1.25.60	MgtE N-terminal fold
1.40.10	Peridinin-chlorophyll Protein, Chain M
1.50.10	Glycosyltransferase
1.50.40	Mitochondrial carrier fold
2.10.10	Seminal Fluid Protein  PDC-109 (Domain B)
2.10.22	Antistasin; domain 1
2.10.25	Laminin
2.10.50	Tumor Necrosis Factor Receptor, subunit A; domain 2
2.10.55	Leishmanolysin; domain 3
2.10.60	CD59
2.10.69	Cysteine Protease (Bromelain) Inhibitor, subunit H
2.10.70	Complement Module; domain 1
2.10.77	Hemagglutinin; Chain A, domain 2
2.10.80	Lipase, subunit A
2.10.90	Cystine Knot Cytokines, subunit B
2.10.109	Umud Fragment, subunit A
2.10.110	Cysteine Rich Protein
2.10.150	Urease, subunit B
2.10.160	Vascular Endothelial Growth Factor-165, Heparin-binding Domain
2.10.210	Cytochrome Bc1 Complex; Chain I
2.10.220	Hormone Receptor, Insulin-like Growth Factor Receptor 1; Chain A domain 2
2.10.230	Chaperone, DNAj Protein; Chain A
2.10.240	Dihydroorotate dehydrogenase B (pyrk subunit); domain 3
2.10.250	Calnexin lumenal domain, non-globular proline-rich hairpin domain
2.10.260	Pemi-like Protein 1; Chain: D
2.10.270	left handed beta-beta-3-solenoid
2.10.280	heat- and protease-stable fragment of the bacteriophage t4 short fibre, domain 1
2.10.290	Rubredoxin-like
2.10.300	Porin MspA ribbon fold
2.10.310	Serpins fold
2.20.20	Anthopleurin-A
2.20.25	N-terminal domain of TfIIb
2.20.28	Rubrerythrin, domain 2
2.20.50	Outer Surface Protein A; domain 2
2.20.60	Heparin-binding Growth Factor, Midkine; Chain A
2.20.70	Ubiquitin Ligase Nedd4; Chain: W; 
2.20.80	Lipovitellin-phosvitin complex, chain A, domain 4
2.20.90	Lipovitellin-phosvitin complex; beta-sheet shell regions
2.20.100	TSP-1 type 1 repeat
2.20.110	Histone H3 K4-specific methyltransferase SET7/9 N-terminal domain
2.20.120	Multimodular pneumococcal cell wall endolysin, domain 3
2.20.130	S-adenosyl-L-methionine-dependent methyltransferases
2.20.140	q64v53_bacfr protein fold
2.20.150	putative 5-dehydro-2- deoxygluconokinase like fold
2.20.160	titin filament fold
2.20.170	GTPase activation domain, GAP fold
2.20.180	putative fmn-dependent nitroreductase like fold
2.20.200	Outer membrane efflux proteins (OEP)
2.20.210	ubp-family deubiquitinating enzyme fold
2.20.220	Glycosyl hydrolase fold
2.20.230	Resuscitation-promoting factor rpfb fold
2.30.18	TATA box binding Protein, subunit D; domain 2
2.30.22	Nucleotide Exchange Factor Grpe; Chain A, domain 2
2.30.24	Transcription Regulation, Sacy; Chain A
2.30.26	Dihydroorotate Dehydrogenase A; chain A, domain 2
2.30.27	Phage FD Coat Protein, Membrane penetration domain
2.30.29	PH-domain like
2.30.30	SH3 type barrels.
2.30.31	Transcriptional Co-activator pc4; Chain A
2.30.32	Xylanase; Chain A
2.30.33	10 Kd Chaperonin, Protein Cpn10; Chain O
2.30.34	Leishmanolysin; domain 4
2.30.36	Actin; Chain A, domain 2
2.30.38	Luciferase; domain 3
2.30.39	Alpha-1-antitrypsin; domain 1
2.30.40	Urease, subunit C; domain 1
2.30.42	Pdz3 Domain
2.30.60	HIV-inactivating Protein, Cyanovirin-n
2.30.90	Heparin-binding Growth Factor, Midkine; Chain A, C-terminal Domain;
2.30.110	Pnp Oxidase; Chain A
2.30.120	Penicillin G acylase, beta-roll domain 
2.30.130	Archaeosine Trna-guanine Transglycosylase; Chain: A, domain 4
2.30.140	Spermidine Synthase; Chain: A, domain 2
2.30.150	Rna Polymerase Beta Subunit; Chain: C, domain 4
2.30.160	Methuselah Ectodomain; Chain: A, domain 1
2.30.170	Ribosomal Protein L24e; Chain: T;
2.30.180	FAS1 domain
2.30.210	Leucyl-tRNA synthetase, domain 3
2.30.220	f41 fragment of flagellin, C-terminal domain
2.30.230	Lipovitellin-phosvitin complex; beta-sheet shell regions
2.30.240	at5g01610, DUF538 DOMAIN
2.30.250	Aminopeptidase i, Domain 2
2.30.260	putative xylanase like fold
2.30.270	duf1285 protein fold
2.30.280	PUA domain-like
2.30.290	BH3618-like
2.30.300	Phage tail proteins - horseshoe like beta roll fold 
2.30.310	ibrinogen binding protein from staphylococcus aureus fold
2.30.320	Hypothetical protein YwqG fold
2.30.330	Surface presentation of antigens (SPOA) 
2.30.340	PAZ domain fold
2.40.10	Thrombin, subunit H
2.40.15	Proto-oncogene - Oncogene Product P14tcl1
2.40.20	Plasminogen Kringle 4
2.40.30	Elongation Factor Tu (Ef-tu); domain 3
2.40.33	M1 Pyruvate Kinase; Domain 3
2.40.37	Lyase, Ornithine Decarboxylase; Chain A, domain 1
2.40.40	Barwin-like endoglucanases
2.40.50	OB fold (Dihydrolipoamide Acetyltransferase, E2P)
2.40.70	Cathepsin D, subunit A; domain 1
2.40.100	Cyclophilin
2.40.110	Butyryl-CoA Dehydrogenase, subunit A; domain 2
2.40.128	Lipocalin
2.40.150	Ribosomal Protein L14
2.40.155	Green Fluorescent Protein
2.40.160	Porin
2.40.170	Maltoporin; Chain A
2.40.180	Catalase HpII,  Chain A, domain 1
2.40.200	Telomere-binding Protein Beta Subunit; Chain B
2.40.220	Intramolecular trans-sialidase; domain 3
2.40.230	Outer membrane phospholipase (ompla); Chain C
2.40.240	Ribosomal Protein L25; Chain P
2.40.250	Polyomavirus Enhancer Binding Protein 2; Chain: A; 
2.40.260	Sortase; Chain: A; 
2.40.270	Dna-directed Rna Polymerase Ii 140kd Polypeptide; Chain: B; Domain 6
2.40.280	Small Protein B; Chain: A; 
2.40.290	Ku70; Chain: A; Domain 2
2.40.300	Virus Head Decoration Protein; Chain: A,
2.40.310	Staphostatins
2.40.320	Hypothetical Protein Pfu-838710-001
2.40.330	At1g16640 B3 domain
2.40.340	Beta-clip
2.40.350	AOC barrel-like
2.40.360	YmcC-like fold
2.40.370	AttH-like fold
2.40.380	FomD barrel-like fold
2.40.390	CV3147-like
2.40.400	Acetoacetate decarboxylase-like
2.40.410	putative membrane protein from Corynebacterium diphtheriae fold
2.40.420	conserved putative lor/sdh protein from methanococcus maripaludis s2 fold
2.40.430	Periplasmic binding protein-like II
2.40.440	L,D-transpeptidase catalytic domain-like
2.40.450	PUA domain-like fold
2.40.460	ClpP/crotonase fold
2.40.470	catalase hpii fold
2.40.480	AOC barrel-like
2.40.490	Head and neck region of the ectodomain of NDV fusion glycoprotein
2.40.500	Upper collar protein gp10 (connector protein) fold
2.40.510	Nucleoplasmin-like/VP (viral coat and capsid proteins) 
2.50.10	Bacteriochlorophyll-a Protein
2.50.20	outer membrane lipoprotein receptor (LolB), chain A
2.60.9	Neurophysin II; Chain A
2.60.11	Cytochrome C Oxidase; Chain F
2.60.15	ATP Synthase; domain 1
2.60.20	Gamma-B Crystallin; domain 1
2.60.30	Electron Transport Ethylamine Dehydrogenase
2.60.34	Substrate Binding Domain Of DNAk; Chain A, domain 1
2.60.40	Immunoglobulin-like
2.60.60	Lipoxygenase-1
2.60.90	Adenovirus Type 5 Fiber Protein (Receptor Binding Domain)
2.60.98	Tick-borne Encephalitis virus Glycoprotein; domain 1
2.60.110	Thaumatin
2.60.120	Jelly Rolls
2.60.130	Protocatechuate 3,4-Dioxygenase, subunit A
2.60.169	Bacteriophage G4 Capsid Proteins Gpf, Gpg, Gpj, subunit 1
2.60.175	Polyomavirus Vp1; Chain A
2.60.200	Tumour Suppressor Smad4
2.60.210	Apoptosis, Tumor Necrosis Factor Receptor Associated Protein 2; Chain A
